TestName,StartTime,TimeStamp,ActionDesc,ActionDuration,
B - Revenue Causality dashboard,12/15/2010 17:39,12/15/2010 17:44,012 Dashboard clear drills,7125,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:29,12/15/2010 17:33,009 Dashboard drill down by 'Sales' 'SalesDirectorFI',2031,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:29,12/15/2010 17:33,010 Dashboard drill down by 'Sales' 'N/A',1688,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:39,001 Open login page,234,Other
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:39,002 Login as 'marketingFI' and wait for dashboard,7703,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:39,003 Load dashboard 'Revenue Causality',7828,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:40,004 Dashboard clear drills,7141,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:41,005 Set time period in dashboard,1188,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:41,006 Set field 'Target Currency' to value 'DKK',7531,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:42,007 Set field 'Target Unit' to value 'Meter',8391,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:42,008 Set field 'Target Unit' to value 'Piece',7969,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:43,009 Dashboard drill down by 'Sales' 'SalesDirectorFI',1828,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:43,010 Dashboard drill down by 'Sales' 'N/A',2078,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:44,011 Dashboard clear drills,6031,Dashboard
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:39,12/15/2010 17:44,012 Logout ,2688,Login
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:44,12/15/2010 17:44,001 Open login page,203,Other
C - Revenue Causality dashboard without SalesDistrict,12/15/2010 17:44,12/15/2010 17:44,002 Login as 'marketingFI' and wait for dashboard,7313,Dashboard
A - Price Explorer,12/15/2010 17:31,12/15/2010 17:33,010 Select graph type 'Scatter',2766,PriceExplorer
A - Price Explorer,12/15/2010 17:31,12/15/2010 17:33,011 Filter by time,3984,PriceExplorer
A - Price Explorer,12/15/2010 17:31,12/15/2010 17:33,012 Clear filters,1797,PriceExplorer
A - Price Explorer,12/15/2010 17:31,12/15/2010 17:33,013 Logout ,1484,Login
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:33,001 Open login page,250,Other
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:33,002 Login as 'regadminNL2',1750,Login
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,003 Navigate in main menu to 'Track and Analyze',8313,FolderNavigation
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,004 Navigate in folders to 'Price Explorer',5188,FolderNavigation
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,005 Set field 'Target Unit' to value 'Package',172,Client
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,006 Apply changes,1609,PriceExplorer
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,007 Set field 'Target Unit' to value 'Piece',203,Client
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,008 Set field 'Y Axis' to value 'Percent',203,Client
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,009 Apply changes,1578,PriceExplorer
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:34,010 Select graph type 'Scatter',2156,PriceExplorer
A - Price Explorer,12/15/2010 17:33,12/15/2010 17:35,011 Filter by time,3141,PriceExplorer
