TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:05,"009 Navigate in folders to 'L2 Price Setting'",1422,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:22,"010 Open Worksheet 'L2 Price'",609,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:29,"011 Logout ",500,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:30,"001 Open login page",219,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:32,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2094,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:33,"003 Navigate in main menu to 'Manage Prices'",1297,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:35,"004 Navigate in folders to 'L1 Price Setting'",1953,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:51,"005 Open Worksheet 'L1 Prices'",719,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:59,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",609,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:52:07,"007 Set Filter 'PCK','60mm Busbar system'",406,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:52:16,"008 Navigate in main menu to 'Manage Prices'",1828,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:52:17,"009 Navigate in folders to 'L2 Price Setting'",1297,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:52:33,"010 Open Worksheet 'L2 Price'",516,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:52:41,"011 Logout ",516,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:52:41,"001 Open login page",203,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:52:43,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2109,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:52:45,"003 Navigate in main menu to 'Manage Prices'",1594,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:52:46,"004 Navigate in folders to 'L1 Price Setting'",1656,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:03,"005 Open Worksheet 'L1 Prices'",813,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:11,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",406,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:19,"007 Set Filter 'PCK','60mm Busbar system'",547,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:28,"008 Navigate in main menu to 'Manage Prices'",1984,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:30,"009 Navigate in folders to 'L2 Price Setting'",2000,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:46,"010 Open Worksheet 'L2 Price'",609,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:52:41,2011/04/15 06:53:54,"011 Logout ",641,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:53:54,"001 Open login page",266,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:53:56,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2516,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:53:58,"003 Navigate in main menu to 'Manage Prices'",1594,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:00,"004 Navigate in folders to 'L1 Price Setting'",1703,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:16,"005 Open Worksheet 'L1 Prices'",719,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:24,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",625,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:32,"007 Set Filter 'PCK','60mm Busbar system'",500,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:41,"008 Navigate in main menu to 'Manage Prices'",1547,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:42,"009 Navigate in folders to 'L2 Price Setting'",1641,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:54:58,"010 Open Worksheet 'L2 Price'",594,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:53:54,2011/04/15 06:55:06,"011 Logout ",844,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:07,"001 Open login page",266,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:09,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2453,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:11,"003 Navigate in main menu to 'Manage Prices'",1391,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:12,"004 Navigate in folders to 'L1 Price Setting'",1516,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:29,"005 Open Worksheet 'L1 Prices'",766,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:36,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",484,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:44,"007 Set Filter 'PCK','60mm Busbar system'",547,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:53,"008 Navigate in main menu to 'Manage Prices'",1719,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:55:55,"009 Navigate in folders to 'L2 Price Setting'",1688,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:56:11,"010 Open Worksheet 'L2 Price'",594,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:55:06,2011/04/15 06:56:19,"011 Logout ",609,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:19,"001 Open login page",188,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:21,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2156,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:23,"003 Navigate in main menu to 'Manage Prices'",1609,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:25,"004 Navigate in folders to 'L1 Price Setting'",1672,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:41,"005 Open Worksheet 'L1 Prices'",891,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:49,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",594,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:56:57,"007 Set Filter 'PCK','60mm Busbar system'",516,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:57:06,"008 Navigate in main menu to 'Manage Prices'",1484,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:57:07,"009 Navigate in folders to 'L2 Price Setting'",1500,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:57:23,"010 Open Worksheet 'L2 Price'",531,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:56:19,2011/04/15 06:57:31,"011 Logout ",594,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:57:31,"001 Open login page",203,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:57:31,2011/04/15 06:57:33,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2297,"Dashboard"
